Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,,,Genre,,,,,Publisher,
1980,Congo,Michael Crichton,eng,Intermediate,3.55,129811.0,nonfiction,5696.85,3418.11,6.99,137.0,Random House LLC,815.0
1999,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651.0,genre fiction,8573.25,5143.95,10.65,139.0,Penguin Group (USA) LLC,805.0
2009,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721.0,genre fiction,9412.15,5647.29,11.99,143.0,Penguin Group (USA) LLC,785.0
1979,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723.0,genre fiction,1512.4,907.44,1.99,148.0,HarperCollins Publishers,760.0
2001,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398.0,genre fiction,3717.55,2230.53,4.99,151.0,Random House LLC,745.0
1980,Firestarter,Stephen King,eng,Intermediate,3.85,142213.0,genre fiction,2952.6,1771.56,3.99,152.0,Macmillan,740.0
2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393.0,genre fiction,5444.75,3266.85,7.51,155.0,Random House LLC,725.0
2004,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683.0,genre fiction,5593.0,3355.8,7.99,160.0,Hachette Book Group,700.0
2001,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800.0,genre fiction,1353.2,811.92,1.99,164.0,HarperCollins Publishers,680.0
2005,1776,David McCullough,eng,Intermediate,4.06,130293.0,genre fiction,7814.4,4688.64,11.84,168.0,Random House LLC,660.0
2012,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053.0,genre fiction,9818.45,5891.07,14.99,169.0,Random House LLC,655.0
1987,Sphere,Michael Crichton,eng,Intermediate,3.77,128244.0,genre fiction,4473.6,2684.16,6.99,172.0,Random House LLC,640.0
2008,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812.0,genre fiction,5663.7,3398.22,8.99,174.0,Simon and Schuster Digital Sales Inc,630.0
2005,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786.0,genre fiction,3564.05,2138.43,5.99,181.0,Penguin Group (USA) LLC,595.0
2007,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892.0,genre fiction,524.7,314.82,0.99,194.0,Macmillan,530.0
1949,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061.0,genre fiction,5433.18,3259.908,10.91,201.0,Penguin Group (USA) LLC,498.0
2012,,Kate Egan,en-US,Famous,4.51,119915.0,genre fiction,2950.91,1770.546,6.01,205.0,HarperCollins Publishers,491.0
1929,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665.0,genre fiction,2445.1,1467.06,4.99,206.0,Hachette Book Group,490.0
2002,BLEACH―ブリーチ―　1,Tite Kubo,eng,Intermediate,4.21,120004.0,fiction,2605.92,1563.552,5.34,207.0,Penguin Group (USA) LLC,488.0
2013,,Allie Brosh,eng,Intermediate,4.17,118910.0,genre fiction,5269.53,3161.718,10.91,210.0,Penguin Group (USA) LLC,483.0
1992,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524.0,nonfiction,2057.58,1234.548,4.26,210.0,HarperCollins Publishing,483.0
1997,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541.0,genre fiction,5253.22,3151.932,10.99,213.0,Random House LLC,478.0
1976,Roots,Alex Haley,en-US,Famous,4.42,118951.0,genre fiction,460.35,276.21,0.99,221.0,Macmillan,465.0
1982,Different Seasons,Stephen King,eng,Intermediate,4.34,105961.0,genre fiction,5000.45,3000.27,10.99,227.0,Simon and Schuster Digital Sales Inc,455.0
2012,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982.0,genre fiction,2250.49,1350.294,4.99,229.0,Penguin Group (USA) LLC,451.0
1997,The Power of Now,Eckhart Tolle,eng,Intermediate,4.1,104549.0,genre fiction,4771.2,2862.72,10.65,231.0,Penguin Group (USA) LLC,448.0
2006,The Lies of Locke Lamora,Scott Lynch,eng,Intermediate,4.3,118751.0,genre fiction,1324.57,794.742,2.99,234.0,Simon and Schuster Digital Sales Inc,443.0
1995,Sabriel,Garth Nix,en-US,Intermediate,4.17,137047.0,genre fiction,8811.18,5286.708,19.98,235.0,Random House LLC,441.0
2009,Dead and Gone,Charlaine Harris,eng,Intermediate,4.01,145157.0,genre fiction,2175.64,1305.384,4.99,238.0,Random House LLC,436.0
2011,Obsidian,Jennifer L. Armentrout,eng,Intermediate,4.23,164832.0,genre fiction,5191.67,3115.002,11.99,240.0,Penguin Group (USA) LLC,433.0
2008,Half Broke Horses: A True Life Novel,Jeannette Walls,eng,Intermediate,4.05,110597.0,genre fiction,5107.74,3064.644,11.99,244.0,Penguin Group (USA) LLC,426.0
2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,eng,Intermediate,4.05,122502.0,nonfiction,4473.0,2683.8,10.65,248.0,Random House LLC,420.0
2011,Bloodlines,Richelle Mead,en-US,Intermediate,4.22,140599.0,genre fiction,413.82,248.292,0.99,249.0,Macmillan,418.0
2009,Twenties Girl,Sophie Kinsella,eng,Intermediate,3.82,119105.0,genre fiction,2070.85,1242.51,4.99,251.0,Random House LLC,415.0
1999,Seabiscuit,Laura Hillenbrand,en-US,Intermediate,4.2,111497.0,genre fiction,1007.5,604.5,2.5,258.0,HarperCollins Publishers,403.0
2003,Shutter Island,Dennis Lehane,eng,Intermediate,4.07,113718.0,genre fiction,4270.65,2562.39,10.65,259.0,Penguin Group (USA) LLC,401.0
1894,The Complete Sherlock Holmes,Arthur Conan Doyle,eng,Famous,4.5,109754.0,genre fiction,3180.02,1908.012,7.99,261.0,Penguin Group (USA) LLC,398.0
1593,The Taming of the Shrew,William Shakespeare,en-US,Intermediate,3.81,126318.0,nonfiction,2726.1,1635.66,6.99,266.0,Hachette Book Group,390.0
